origination,city,km distance,latitude,longitude,num reviews,price,rating,Type
"Agency, IA",Fairfield,27.507044090443426,41.006429600000004,-91.97984840000001,2,-1,4.5,Convenience Stores
"Agency, IA",Fairfield,27.61199172851957,41.006313299999995,-91.9796829,5,3,3.5,Convenience Stores
"Ainsworth, IA",Coralville,42.10093143156271,41.668758399999994,-91.5666199,10,2,2.0,Pharmacy
"Ainsworth, IA",Iowa City,41.08698313393599,41.659489,-91.53556999999999,7,1,3.0,Pharmacy
"Ainsworth, IA",Iowa City,40.22387808091384,41.649971008300795,-91.50271606445308,4,2,3.5,Pharmacy
"Ainsworth, IA",Iowa City,40.28708757658148,41.6520004,-91.5754166,2,2,4.0,Pharmacy
"Ainsworth, IA",Iowa City,41.99915482658748,41.6659056434211,-91.50186344347641,2,2,4.5,Pharmacy
"Ainsworth, IA",Muscatine,47.02998745997129,41.4446,-91.02977,4,2,3.5,Pharmacy
"Ainsworth, IA",Iowa City,40.4056716218541,41.651405334472706,-91.5008926391602,10,2,3.0,Pharmacy
"Ainsworth, IA",Mediapolis,45.32079705785974,41.0076789855957,-91.1643218994141,1,2,5.0,Pharmacy
"Ainsworth, IA",North Liberty,50.769901949545314,41.745118120543204,-91.60728693008421,4,-1,4.0,Pharmacy
"Ainsworth, IA",Iowa City,40.16101354618754,41.649111,-91.49985,3,1,2.0,Pharmacy
"Ainsworth, IA",North Liberty,51.178496860273285,41.7489,-91.60624,2,2,3.0,Pharmacy
"Ainsworth, IA",Burlington,63.25993733968635,40.8143882751465,-91.1406936645508,1,-1,5.0,Pharmacy
"Ainsworth, IA",Mount Pleasant,36.070345923550065,40.9659,-91.55513,1,1,3.0,Pharmacy
"Ainsworth, IA",Iowa City,42.021057613689855,41.6658935546875,-91.50137329101558,1,2,4.0,Pharmacy
"Ainsworth, IA",Coralville,45.91456325517176,41.70104,-91.60947,4,2,3.5,Pharmacy
"Ainsworth, IA",Williamsburg,56.0750944559992,41.661140441894496,-92.0105819702148,1,-1,3.0,Pharmacy
"Ainsworth, IA",Muscatine,46.76006678822589,41.451019287109396,-91.0362396240234,1,-1,1.0,Pharmacy
"Ainsworth, IA",Coralville,45.50857798650796,41.697239,-91.61203499999999,1,-1,1.0,Pharmacy
"Ainsworth, IA",Iowa City,41.38591273852785,41.65844,-91.48168000000001,1,-1,1.0,Pharmacy
"Ainsworth, IA",Iowa City,39.385644061683095,41.64445,-91.551271,9,1,2.5,Pharmacy
"Ainsworth, IA",Washington,10.610429638190796,41.293876647949205,-91.6814727783203,1,-1,5.0,Optometrist
"Ainsworth, IA",Iowa City,41.202845555795996,41.660430908203104,-91.53231811523442,16,3,5.0,Optometrist
"Ainsworth, IA",Washington,11.52609813178575,41.297145843505895,-91.6921768188477,1,-1,1.0,Optometrist
"Ainsworth, IA",Riverside,21.94991432183757,41.48757408643979,-91.5468949824572,1,-1,4.0,Optometrist
"Ainsworth, IA",Iowa City,39.804349547856006,41.648196,-91.5485,2,-1,5.0,Optometrist
"Ainsworth, IA",Muscatine,44.54535386665364,41.43428,-91.0561,2,-1,5.0,Optometrist
"Ainsworth, IA",Coralville,45.57560853969846,41.697404,-91.61734799999999,2,-1,5.0,Optometrist
"Ainsworth, IA",New London,42.51600778992261,40.925544738769496,-91.40200805664058,2,-1,5.0,Optometrist
"Ainsworth, IA",Coralville,44.727966959320796,41.690948999999996,-91.601543,1,-1,5.0,Optometrist
"Ainsworth, IA",Iowa City,39.27033486244975,41.6428877,-91.51148509999999,3,3,3.5,Optometrist
"Ainsworth, IA",Coralville,43.714755264013355,41.682258000000004,-91.59419799999999,3,2,3.5,Optometrist
"Ainsworth, IA",North Liberty,51.28951353907529,41.74998,-91.60865,1,-1,5.0,Optometrist
"Ainsworth, IA",Iowa City,41.06405801788279,41.6592781,-91.5354108,5,-1,2.0,Optometrist
"Ainsworth, IA",Iowa City,40.19824754305365,41.64935070000001,-91.4987203,3,-1,2.0,Optometrist
"Ainsworth, IA",Muscatine,44.5457236627332,41.43428,-91.0561,1,-1,1.0,Optometrist
"Ainsworth, IA",Coralville,44.75532448882661,41.690953,-91.605091,2,2,2.5,Optometrist
"Ainsworth, IA",Burlington,64.83256711851178,40.797684940876,-91.140743335809,2,1,4.5,Optometrist
"Ainsworth, IA",Coralville,45.22293185524955,41.6918716,-91.6058197,1,-1,5.0,Optometrist
"Ainsworth, IA",Muscatine,46.896407376202745,41.44465,-91.03126999999999,1,-1,1.0,Optometrist
"Ainsworth, IA",Marengo,71.0448387080888,41.8005,-92.0681,1,-1,5.0,Optometrist
"Ainsworth, IA",Old,17.39968967965961,41.1340908950474,-91.54117047786708,1,1,5.0,Gas Stations
"Ainsworth, IA",Mount Pleasant,34.28181936701732,40.982148714341704,-91.53968319296841,4,-1,3.5,Gas Stations
"Ainsworth, IA",Hills,29.38858835410953,41.5540851,-91.539348,3,1,4.5,Gas Stations
"Ainsworth, IA",Kalona,25.24170574067296,41.4879612,-91.71442990000001,1,-1,1.0,Gas Stations
"Ainsworth, IA",West Liberty,40.3556325048601,41.578578,-91.260162,3,1,2.5,Gas Stations
"Ainsworth, IA",Washington,12.879378136200007,41.30397,-91.71821,1,-1,5.0,Dental
"Ainsworth, IA",Washington,12.856610638916928,41.2960795,-91.708086,2,-1,3.0,Dental
"Ainsworth, IA",Fairfield,46.53717538047168,41.0053787,-91.9615402,1,-1,5.0,Dental
"Ainsworth, IA",West Liberty,40.4698332486952,41.580208,-91.260976,2,-1,1.0,Dental
"Ainsworth, IA",West Liberty,40.4698332486952,41.580207824706996,-91.26097869873051,1,-1,1.0,Dental
"Ainsworth, IA",Kalona,25.24170574067296,41.4879612,-91.71442990000001,1,-1,1.0,Convenience Stores
"Ainsworth, IA",Iowa City,41.54104080040913,41.663318,-91.52984599999999,64,2,4.5,Convenience Stores
"Ainsworth, IA",Fairfield,47.964943004060935,40.9886932373047,-91.9636383056641,2,2,4.5,Convenience Stores
"Ainsworth, IA",Kalona,24.896304062174462,41.48283,-91.70643000000001,1,-1,5.0,Convenience Stores
"Ainsworth, IA",Muscatine,48.5293729024564,41.4583471028896,-91.01766228675841,3,2,4.5,Convenience Stores
"Ainsworth, IA",Iowa City,41.048772762798784,41.6590839,-91.53433790000001,2,-1,3.0,Convenience Stores
"Ainsworth, IA",Mount Pleasant,36.091057853794545,40.96543502807621,-91.5579681396484,4,1,4.5,Convenience Stores
"Ainsworth, IA",Muscatine,44.994513457122075,41.42412,-91.04539,1,-1,5.0,Convenience Stores
"Ainsworth, IA",Fairfield,46.39305564942425,41.012797,-91.96821899999999,6,1,5.0,Convenience Stores
"Ainsworth, IA",Iowa City,41.12777137287298,41.6597282,-91.5315251,5,2,4.0,Convenience Stores
"Ainsworth, IA",Coralville,42.10093143156271,41.668758399999994,-91.5666199,10,2,2.0,Convenience Stores
"Ainsworth, IA",Iowa City,39.3402035906836,41.642419425742105,-91.5091292711639,58,2,4.0,Convenience Stores
"Ainsworth, IA",Fairfield,47.59251701942605,41.006429600000004,-91.97984840000001,2,-1,4.5,Convenience Stores
"Ainsworth, IA",Coralville,42.77256024859869,41.67453,-91.58028,32,2,4.5,Convenience Stores
"Ainsworth, IA",Fairfield,47.639097083797395,41.006313299999995,-91.9796829,5,3,3.5,Convenience Stores
"Ainsworth, IA",Iowa City,40.08823457031449,41.6506275,-91.540572,4,1,4.0,Convenience Stores
"Ainsworth, IA",Tipton,54.03440718746366,41.6478464,-91.11526620000001,4,1,3.5,Convenience Stores
"Ainsworth, IA",Walcott,74.01800822702974,41.617804490367206,-90.7811987400055,148,2,4.0,Convenience Stores
"Ainsworth, IA",Mount Pleasant,36.03884996539952,40.96609,-91.55708,2,1,3.0,Convenience Stores
"Ainsworth, IA",Coralville,43.651695277921746,41.6818177,-91.59187890000001,28,2,3.5,Convenience Stores
"Albert City, IA",Pocahontas,10.195598687731056,42.747593522071796,-94.83404338359829,1,-1,5.0,Restaurants
"Albert City, IA",Storm Lake,26.761084946605862,42.650012,-95.22296899999999,20,2,4.0,Restaurants
"Albert City, IA",Sac City,40.088242094878304,42.42237,-94.98994,9,2,4.5,Restaurants
"Albert City, IA",Webb,19.320058381173762,42.9490394592285,-95.0116653442383,1,-1,5.0,Restaurants
"Albert City, IA",Storm Lake,25.574872022933025,42.644909999999996,-95.20044,25,1,5.0,Restaurants
"Albert City, IA",Sioux Rapids,20.639737335049876,42.8930999,-95.15104000000001,3,-1,4.5,Restaurants
"Albert City, IA",Emmetsburg,42.641139586382934,43.110240000000005,-94.679,4,1,4.5,Restaurants
"Albert City, IA",Storm Lake,24.77048237357695,42.6585923424868,-95.2015073597431,2,2,4.0,Restaurants
"Albert City, IA",Holstein,58.579124521343225,42.489620200000005,-95.5446625,4,-1,4.5,Restaurants
"Albert City, IA",Humboldt,59.359229131945,42.71436,-94.22712,6,2,5.0,Restaurants
"Albert City, IA",Storm Lake,25.494976307131928,42.6462946,-95.20061290000001,4,2,4.5,Restaurants
"Albert City, IA",Laurens,10.807813566807637,42.84729,-94.85103000000001,2,2,3.0,Restaurants
"Albert City, IA",Manson,43.96034327922472,42.53004,-94.53389,1,2,4.0,Restaurants
"Albert City, IA",Storm Lake,25.140528038838266,42.6342929477442,-95.18214248120779,9,2,4.0,Restaurants
"Albert City, IA",Emmetsburg,42.81078484524004,43.1203188,-94.6987412,5,2,4.0,Restaurants
"Albert City, IA",Storm Lake,24.816993085858076,42.647036,-95.191053,11,1,4.5,Restaurants
"Albert City, IA",Holstein,58.58297410189478,42.4898357899234,-95.54501399707858,5,2,4.0,Restaurants
"Albert City, IA",Humboldt,60.027807397319144,42.720975279808,-94.2179949581623,3,-1,3.5,Restaurants
"Albert City, IA",Sac City,40.1160324359234,42.4220856,-94.99050840000001,3,2,3.5,Restaurants
"Albert City, IA",Storm Lake,25.611295050126408,42.64342,-95.19934,22,2,3.5,Restaurants
"Albert City, IA",Storm Lake,24.127128445814613,42.664124,-95.19702840000001,1,2,1.0,Pharmacy
"Albert City, IA",Milford,62.629575253565356,43.3253021240234,-95.1495513916016,1,-1,3.0,Pharmacy
"Albert City, IA",Cherokee,49.38175913908489,42.763484999999996,-95.553152,2,-1,1.0,Pharmacy
"Albert City, IA",Fort Dodge,71.83831634380532,42.506465000000006,-94.153936,3,2,3.0,Pharmacy
"Albert City, IA",Spencer,41.942209690459634,43.130855560302706,-95.1434097290039,2,-1,2.5,Optometrist
"Albert City, IA",Storm Lake,25.130025424614228,42.653289,-95.201187,1,-1,5.0,Groceries
"Albert City, IA",Spencer,43.64423644640748,43.14635,-95.14518000000001,3,-1,3.5,Groceries
"Albert City, IA",Laurens,11.11058207339914,42.8493256,-94.8485775,1,-1,3.0,Groceries
"Albert City, IA",Emmetsburg,42.63879600847096,43.1091614,-94.6774597,2,2,3.0,Groceries
"Albert City, IA",Spencer,43.44536924391248,43.14573,-95.14325,1,-1,5.0,Groceries
"Albert City, IA",Rockwell City,42.64940967864222,42.4738769620254,-94.63736269623041,1,2,5.0,Groceries
"Albert City, IA",Mallard,28.040820939604487,42.9375038146973,-94.67831420898442,1,-1,5.0,Groceries
"Albert City, IA",Spencer,41.649291694039476,43.1251313,-95.15241850000001,2,-1,1.5,Groceries
"Albert City, IA",Cherokee,49.20164535997308,42.76549,-95.55141,1,3,3.0,Groceries
"Albert City, IA",Cherokee,49.33539803619801,42.754241943359396,-95.5518951416016,1,2,4.0,Groceries
"Albert City, IA",Rockwell City,50.24507829158547,42.39452,-94.63245,1,2,3.0,Groceries
"Albert City, IA",Storm Lake,24.127128445814613,42.664124,-95.19702840000001,1,2,1.0,Groceries
"Albert City, IA",Milford,62.57142276945514,43.328509999999994,-95.14999,1,-1,3.0,Groceries
"Albert City, IA",Fort Dodge,71.89832293181051,42.50654,-94.15391,3,2,3.0,Groceries
"Albert City, IA",Milford,62.629575253565356,43.3253021240234,-95.1495513916016,1,-1,3.0,Groceries
"Albert City, IA",Gowrie,77.61296525874803,42.2802391052246,-94.2894515991211,1,-1,5.0,Groceries
"Albert City, IA",Lake View,52.6024650085306,42.311161,-95.0327835,1,-1,3.0,Groceries
"Albert City, IA",Spencer,43.111034745598815,43.1414749,-95.14485520000001,2,2,5.0,Groceries
"Albert City, IA",Fort Dodge,71.77067084327302,42.50475,-94.15661999999999,2,-1,1.5,Groceries
"Albert City, IA",Algona,68.54249109102365,43.0828448385,-94.2140306532383,1,1,4.0,Groceries
"Albert City, IA",Rockwell City,50.03849758713997,42.39906,-94.62615,1,2,4.0,Gas Stations
"Albert City, IA",Lake View,52.87455833341488,42.310832,-95.040174,2,-1,3.0,Gas Stations
"Albert City, IA",Spencer,41.86055304074099,43.1300392150879,-95.1432952880859,1,-1,5.0,Gas Stations
"Albert City, IA",Primghar,64.61535530414923,43.086071032491,-95.6246391404494,2,1,3.5,Gas Stations
"Albert City, IA",Algona,67.13119387592478,43.083705091174295,-94.2347734611994,3,-1,3.5,Gas Stations
"Albert City, IA",Sutherland,49.47638910039727,42.9681664,-95.4985123,2,-1,3.0,Gas Stations
"Albert City, IA",Humboldt,60.21359250354021,42.721212,-94.21579200000001,1,1,3.0,Dollar Store
"Albert City, IA",Storm Lake,25.64416529848173,42.64563,-95.20223,1,-1,2.0,Dental
"Albert City, IA",Emmetsburg,42.69899602204536,43.111289899999996,-94.67981,1,-1,1.0,Dental
"Albert City, IA",Fort Dodge,69.63539831738387,42.4923174859341,-94.1936002671719,2,-1,5.0,Dental
"Albert City, IA",Fort Dodge,71.97907925521277,42.501002,-94.155598,3,-1,2.5,Dental
"Albert City, IA",Fort Dodge,69.74970923947524,42.519725,-94.173633,5,-1,2.5,Dental
"Albert City, IA",Fort Dodge,68.87239447289916,42.53284420000001,-94.177304,2,-1,1.5,Dental
"Albert City, IA",Early,39.34262425665347,42.459919899999996,-95.14842,1,-1,4.0,Convenience Stores
"Albert City, IA",Lake City,60.05204233530785,42.26732,-94.72568000000001,2,2,4.0,Convenience Stores
"Albert City, IA",Spencer,41.86055304074099,43.1300392150879,-95.1432952880859,1,-1,5.0,Convenience Stores
"Albert City, IA",Okoboji,68.35370295764639,43.381960299999996,-95.12914079999999,1,-1,4.0,Convenience Stores
"Albert City, IA",Sutherland,49.47638910039727,42.9681664,-95.4985123,2,-1,3.0,Convenience Stores
"Albert City, IA",Milford,65.3012144813751,43.344331,-95.17830699999999,1,-1,3.0,Convenience Stores
"Albert City, IA",Arnolds Park,66.53312321897788,43.3641602,-95.13522540000001,1,-1,4.0,Convenience Stores
