,city name,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,log(total jobs),x,y
58006,"Perry, IA","Storm Lake, IA",2,0,0,0,0,2,0,1,1,2,1.6931471805599454,-95.200761,42.661935
57965,"Perry, IA","North Liberty, IA",0,2,0,0,0,2,1,1,0,2,1.6931471805599454,-91.590408,41.742914999999996
57926,"Perry, IA","Harlan, IA",1,1,0,0,2,0,0,1,1,2,1.6931471805599454,-95.232768,41.60245
58007,"Perry, IA","Swan, IA",1,0,1,0,1,1,2,0,0,2,1.6931471805599454,-93.32823599999999,41.436341
57950,"Perry, IA","Luther, IA",1,1,0,0,0,2,0,0,2,2,1.6931471805599454,-93.883157,41.950531999999995
57889,"Perry, IA","Cresco, IA",0,2,0,0,2,0,1,0,1,2,1.6931471805599454,-92.08003,43.443475
57972,"Perry, IA","Oxford, IA",0,2,0,0,0,2,0,0,2,2,1.6931471805599454,-91.83418499999999,41.686702
58015,"Perry, IA","Van Meter, IA",0,1,1,2,0,0,0,2,0,2,1.6931471805599454,-93.928754,41.575049
57976,"Perry, IA","Pella, IA",1,1,0,0,2,0,1,1,0,2,1.6931471805599454,-92.912155,41.397234
57847,"Perry, IA","Algona, IA",2,0,0,0,1,1,2,0,0,2,1.6931471805599454,-94.207645,43.057561
57914,"Perry, IA","Fort Madison, IA",0,1,1,1,1,0,0,0,2,2,1.6931471805599454,-91.29732299999999,40.65079
57984,"Perry, IA","Rinard, IA",0,2,0,0,0,2,0,0,2,2,1.6931471805599454,-94.489485,42.310766
57969,"Perry, IA","Oskaloosa, IA",2,0,0,0,1,1,2,0,0,2,1.6931471805599454,-92.63184799999999,41.294489999999996
57909,"Perry, IA","Evansdale, IA",1,1,0,0,1,1,2,0,0,2,1.6931471805599454,-92.277813,42.459451
57949,"Perry, IA","Logan, IA",1,0,1,0,2,0,1,1,0,2,1.6931471805599454,-95.774906,41.569054
57945,"Perry, IA","Lehigh, IA",0,2,0,0,0,2,0,0,2,2,1.6931471805599454,-94.019488,42.327479
57922,"Perry, IA","Greenfield, IA",0,1,1,0,2,0,0,1,1,2,1.6931471805599454,-94.47053799999999,41.294405
57859,"Perry, IA","Bagley, IA",1,1,0,0,1,1,0,0,2,2,1.6931471805599454,-94.476985,41.863229
57996,"Perry, IA","Shueyville, IA",0,1,1,0,1,1,1,1,0,2,1.6931471805599454,-91.67189599999999,41.905125
57924,"Perry, IA","Grinnell, IA",0,2,0,1,1,0,0,0,2,2,1.6931471805599454,-92.70796899999999,41.738157
57902,"Perry, IA","Dysart, IA",1,1,0,2,0,0,1,0,1,2,1.6931471805599454,-92.319205,42.181214999999995
57931,"Perry, IA","Independence, IA",1,1,0,0,2,0,1,1,0,2,1.6931471805599454,-91.874507,42.458304
58009,"Perry, IA","Tennant, IA",1,1,0,0,1,1,2,0,0,2,1.6931471805599454,-95.402508,41.609713
57857,"Perry, IA","Atlantic, IA",0,2,0,0,2,0,0,1,1,2,1.6931471805599454,-95.013133,41.378361999999996
57904,"Perry, IA","East Peru, IA",0,0,2,0,2,0,0,0,2,2,1.6931471805599454,-93.912864,41.217924
58001,"Perry, IA","Spirit Lake, IA",0,0,1,0,0,1,0,1,0,1,1.0,-95.10725599999999,43.425554
57983,"Perry, IA","Remsen, IA",0,1,0,0,1,0,0,0,1,1,1.0,-95.97784899999999,42.779328
58024,"Perry, IA","West Branch, IA",1,0,0,0,0,1,1,0,0,1,1.0,-91.36642499999999,41.616780999999996
58016,"Perry, IA","Vinton, IA",0,0,1,0,0,1,1,0,0,1,1.0,-92.01579199999999,42.141253
57985,"Perry, IA","Riverdale, IA",0,0,1,0,0,1,1,0,0,1,1.0,-90.48580199999999,41.536412
58018,"Perry, IA","Walford, IA",0,1,0,0,1,0,0,1,0,1,1.0,-91.899858,41.805279999999996
58002,"Perry, IA","Spring Hill, IA",0,1,0,0,0,1,1,0,0,1,1.0,-93.716168,41.424726
57986,"Perry, IA","Riverside, IA",0,1,0,0,1,0,1,0,0,1,1.0,-91.62833499999999,41.410427
57999,"Perry, IA","Slater, IA",0,0,1,0,0,1,0,0,1,1,1.0,-93.698072,41.883404
58017,"Perry, IA","Walcott, IA",0,0,1,0,0,1,0,1,0,1,1.0,-90.76474499999999,41.596474
58008,"Perry, IA","Tama, IA",0,1,0,0,0,1,0,1,0,1,1.0,-92.600571,41.938209
57994,"Perry, IA","Shelby, IA",0,1,0,0,0,1,0,0,1,1,1.0,-95.46043,41.498985
58029,"Perry, IA","Wilton, IA",0,0,1,0,1,0,0,1,0,1,1.0,-91.023859,41.583605999999996
58012,"Perry, IA","University Park, IA",0,1,0,0,0,1,0,1,0,1,1.0,-92.607962,41.281405
58013,"Perry, IA","Urbana, IA",0,1,0,1,0,0,0,1,0,1,1.0,-91.83207499999999,42.244595
57988,"Perry, IA","Rock Valley, IA",1,0,0,1,0,0,0,1,0,1,1.0,-96.4673266938655,43.162384855952396
57989,"Perry, IA","Rockwell City, IA",1,0,0,1,0,0,0,1,0,1,1.0,-94.649754,42.39733
57990,"Perry, IA","Rutland, IA",0,1,0,0,1,0,1,0,0,1,1.0,-94.324919,42.804382
58003,"Perry, IA","Springville, IA",0,1,0,0,1,0,0,0,1,1,1.0,-91.550489,42.050174999999996
58027,"Perry, IA","West Union, IA",0,1,0,0,1,0,0,0,1,1,1.0,-91.80823,42.964197
57992,"Perry, IA","Sanborn, IA",1,0,0,0,1,0,0,0,1,1,1.0,-95.66366699999999,43.186032999999995
58005,"Perry, IA","State Center, IA",0,1,0,0,1,0,0,0,1,1,1.0,-93.165301,42.022073999999996
57843,"Perry, IA","Ackworth, IA",0,1,0,0,1,0,0,0,1,1,1.0,-93.444762,41.334736
57980,"Perry, IA","Popejoy, IA",0,1,0,1,0,0,0,1,0,1,1.0,-93.49948499999999,42.557700000000004
57908,"Perry, IA","Estherville, IA",1,0,0,0,1,0,1,0,0,1,1.0,-94.81640499999999,43.382579
57903,"Perry, IA","Eagle Grove, IA",0,0,1,0,0,1,1,0,0,1,1.0,-93.873019,42.666515
57897,"Perry, IA","De Witt, IA",0,1,0,1,0,0,0,0,1,1,1.0,-90.49058,41.858639
57895,"Perry, IA","Dayton, IA",0,1,0,0,1,0,1,0,0,1,1.0,-94.01914699999999,42.245971
57891,"Perry, IA","Cumberland, IA",0,0,1,0,0,1,0,0,1,1,1.0,-94.984967,41.244350999999995
57887,"Perry, IA","Coulter, IA",1,0,0,0,0,1,0,1,0,1,1.0,-93.431387,42.707913999999995
57879,"Perry, IA","Centerville, IA",0,0,1,1,0,0,0,0,1,1,1.0,-92.867959,40.732507
57871,"Perry, IA","Brooklyn, IA",0,1,0,1,0,0,0,0,1,1,1.0,-92.416376,41.775223
57870,"Perry, IA","Britt, IA",0,1,0,0,0,1,0,0,1,1,1.0,-93.788917,43.101535999999996
57868,"Perry, IA","Bondurant, IA",1,0,0,0,0,1,0,0,1,1,1.0,-93.445065,41.717462
57867,"Perry, IA","Blairstown, IA",0,1,0,1,0,0,0,1,0,1,1.0,-92.009602,41.862398999999996
57865,"Perry, IA","Bertram, IA",0,1,0,1,0,0,0,0,1,1,1.0,-91.550902,41.925827
57864,"Perry, IA","Bennett, IA",1,0,0,1,0,0,0,0,1,1,1.0,-91.015704,41.740072999999995
57863,"Perry, IA","Belmond, IA",1,0,0,0,1,0,0,1,0,1,1.0,-93.616749,42.856386
57862,"Perry, IA","Bedford, IA",0,1,0,0,1,0,0,0,1,1,1.0,-94.688115,40.611247
57861,"Perry, IA","Bayard, IA",1,0,0,1,0,0,0,1,0,1,1.0,-94.49295099999999,41.863234999999996
57860,"Perry, IA","Batavia, IA",1,0,0,0,0,1,0,1,0,1,1.0,-92.179531,41.002424999999995
57856,"Perry, IA","Atkins, IA",0,0,1,0,0,1,1,0,0,1,1.0,-91.870924,42.036673
57855,"Perry, IA","Ashton, IA",0,1,0,1,0,0,0,0,1,1,1.0,-95.723514,43.258178
57853,"Perry, IA","Arcadia, IA",0,1,0,1,0,0,0,0,1,1,1.0,-94.975551,42.107592
57850,"Perry, IA","Anamosa, IA",0,1,0,0,1,0,0,0,1,1,1.0,-91.278666,42.104987
57846,"Perry, IA","Albia, IA",0,1,0,0,0,1,1,0,0,1,1.0,-92.85463399999999,41.073164
57905,"Perry, IA","Eddyville, IA",1,0,0,1,0,0,0,0,1,1,1.0,-92.75948799999999,41.161348
57915,"Perry, IA","Fraser, IA",0,0,1,0,1,0,1,0,0,1,1.0,-93.971251,42.123222999999996
57973,"Perry, IA","Packwood, IA",0,0,1,0,0,1,0,1,0,1,1.0,-92.06355099999999,41.083816999999996
57916,"Perry, IA","Garden Grove, IA",0,1,0,0,1,0,0,0,1,1,1.0,-93.680157,40.801398999999996
57971,"Perry, IA","Owasa, IA",1,0,0,0,0,1,0,0,1,1,1.0,-93.231847,42.455188
57963,"Perry, IA","New Liberty, IA",0,1,0,0,1,0,0,0,1,1,1.0,-90.85922699999999,41.771507
57960,"Perry, IA","Murray, IA",0,1,0,0,1,0,0,0,1,1,1.0,-93.91810199999999,41.070206
57959,"Perry, IA","Mount Pleasant, IA",0,1,0,1,0,0,0,0,1,1,1.0,-91.544705,40.974004
57958,"Perry, IA","Missouri Valley, IA",1,0,0,1,0,0,0,1,0,1,1.0,-95.99617450065989,41.50695922694919
57955,"Perry, IA","Mediapolis, IA",1,0,0,0,1,0,1,0,0,1,1.0,-91.16995299999999,40.993396
57952,"Perry, IA","Marengo, IA",0,1,0,0,1,0,1,0,0,1,1.0,-92.019615,41.787358999999995
57951,"Perry, IA","Lynnville, IA",0,1,0,0,1,0,0,1,0,1,1.0,-92.75706799999999,41.601411
57948,"Perry, IA","Lisbon, IA",0,1,0,0,1,0,0,1,0,1,1.0,-91.366055,41.893889
57946,"Perry, IA","Lenox, IA",1,0,0,0,0,1,1,0,0,1,1.0,-94.556373,40.899414
57944,"Perry, IA","Le Claire, IA",0,1,0,0,1,0,0,1,0,1,1.0,-90.3787799267403,41.5770775799534
57943,"Perry, IA","Lambs Grove, IA",0,0,1,0,0,1,1,0,0,1,1.0,-93.06764899999999,41.68834
57940,"Perry, IA","Kirkville, IA",0,1,0,0,0,1,0,1,0,1,1.0,-92.49170099999999,41.126058
57939,"Perry, IA","Kirkman, IA",0,1,0,0,1,0,1,0,0,1,1.0,-95.320399,41.710508999999995
57844,"Perry, IA","Adair, IA",0,1,0,1,0,0,0,1,0,1,1.0,-94.70062899999999,41.504148
57936,"Perry, IA","Jewell Junction, IA",0,1,0,0,1,0,0,1,0,1,1.0,-93.65944999999999,42.310609
57928,"Perry, IA","Harvey, IA",0,1,0,0,0,1,1,0,0,1,1.0,-92.95684,41.265809
57927,"Perry, IA","Harpers Ferry, IA",0,1,0,0,1,0,0,0,1,1,1.0,-91.101669,43.25392
57920,"Perry, IA","Grandview, IA",0,1,0,0,0,1,0,0,1,1,1.0,-91.110401158097,41.237304708092495
57919,"Perry, IA","Grand Junction, IA",0,0,1,0,0,1,0,1,0,1,1.0,-94.242153,42.022523
57917,"Perry, IA","Gilman, IA",1,0,0,1,0,0,0,0,1,1,1.0,-92.765999,41.862373
57938,"Perry, IA","Kamrar, IA",0,1,0,0,1,0,0,1,0,1,1.0,-93.72788899999999,42.339664
