,City,destination,km distance,label,num reviews,rating
235,"Ainsworth, IA"," Iowa City, IA ",40.4056716218541,pharmacy,10,3.0
236,"Ainsworth, IA"," Mediapolis, IA ",45.32079705785974,pharmacy,1,5.0
237,"Ainsworth, IA"," North Liberty, IA ",50.769901949545314,pharmacy,4,4.0
238,"Ainsworth, IA"," Iowa City, IA ",40.16101354618754,pharmacy,3,2.0
239,"Ainsworth, IA"," North Liberty, IA ",51.178496860273285,pharmacy,2,3.0
240,"Ainsworth, IA"," Burlington, IA ",63.25993733968635,pharmacy,1,5.0
241,"Ainsworth, IA"," Mount Pleasant, IA ",36.070345923550065,pharmacy,1,3.0
242,"Ainsworth, IA"," Iowa City, IA ",42.021057613689855,pharmacy,1,4.0
243,"Ainsworth, IA"," Coralville, IA ",45.91456325517176,pharmacy,4,3.5
244,"Ainsworth, IA"," Williamsburg, IA ",56.0750944559992,pharmacy,1,3.0
245,"Ainsworth, IA"," Muscatine, IA ",46.76006678822589,pharmacy,1,1.0
246,"Ainsworth, IA"," Coralville, IA ",45.50857798650796,pharmacy,1,1.0
247,"Ainsworth, IA"," Iowa City, IA ",41.38591273852785,pharmacy,1,1.0
248,"Ainsworth, IA"," Iowa City, IA ",39.385644061683095,pharmacy,9,2.5
249,"Ainsworth, IA"," Washington, IA ",12.879378136200007,dental,1,5.0
250,"Ainsworth, IA"," Washington, IA ",12.856610638916928,dental,2,3.0
251,"Ainsworth, IA"," Fairfield, IA ",46.53717538047168,dental,1,5.0
252,"Ainsworth, IA"," West Liberty, IA ",40.4698332486952,dental,2,1.0
253,"Ainsworth, IA"," West Liberty, IA ",40.4698332486952,dental,1,1.0
254,"Albia, IA"," Albia, IA ",2.190326729696281,optometrist,1,1.0
255,"Albia, IA"," Ottumwa, IA ",32.94333075902466,optometrist,1,5.0
256,"Albia, IA"," Centerville, IA ",32.91945600938371,optometrist,1,5.0
257,"Albia, IA"," Pleasant Hill, IA ",87.32016354108983,optometrist,5,3.5
258,"Albia, IA"," Des Moines, IA ",87.9697189726684,optometrist,3,4.5
259,"Albia, IA"," Des Moines, IA ",87.38755360113096,optometrist,3,3.0
260,"Albia, IA"," Des Moines, IA ",92.10335038901752,optometrist,4,4.5
261,"Albia, IA"," Des Moines, IA ",92.51323006179085,optometrist,1,5.0
262,"Albia, IA"," Des Moines, IA ",86.66193379765541,optometrist,3,1.5
263,"Albia, IA"," Des Moines, IA ",91.37350244500178,optometrist,1,1.0
264,"Albia, IA"," Eddyville, IA ",20.602172935982946,gas stations,1,3.0
265,"Albia, IA"," Pella, IA ",41.81396999940545,gas stations,1,3.0
266,"Albia, IA"," Lancaster, MO ",59.696663105365936,gas stations,1,1.0
267,"Albia, IA"," Agency, IA ",41.38328206484937,gas stations,2,4.5
268,"Albia, IA"," Ottumwa, IA ",31.092508811009957,gas stations,2,3.0
269,"Albia, IA"," Russell, IA ",33.318371161402844,gas stations,1,4.0
270,"Albia, IA"," Hedrick, IA ",44.9108459184459,gas stations,2,2.5
271,"Albia, IA"," Humeston, IA ",61.350449326199104,gas stations,1,5.0
272,"Albia, IA"," Monroe, IA ",60.53386029650746,gas stations,1,5.0
273,"Albia, IA"," Knoxville, IA ",41.37361735172643,gas stations,3,3.5
274,"Albia, IA"," Agency, IA ",47.47705268054862,gas stations,1,5.0
275,"Albia, IA"," Pleasant Hill, IA ",85.85262079020805,gas stations,1,5.0
276,"Albia, IA"," Des Moines, IA ",85.49056233569243,gas stations,1,5.0
277,"Albia, IA"," Des Moines, IA ",87.16969698474726,gas stations,3,4.5
278,"Albia, IA"," Des Moines, IA ",88.20967984846325,gas stations,1,5.0
279,"Albia, IA"," Des Moines, IA ",86.42959493613014,gas stations,2,2.5
280,"Albia, IA"," Des Moines, IA ",89.85584215342102,gas stations,7,5.0
281,"Albia, IA"," Des Moines, IA ",91.46840200862444,gas stations,1,4.0
282,"Albia, IA"," Des Moines, IA ",92.68492319169205,gas stations,4,5.0
