,City,Capacity,Lat,Lon
302,"Monona, IA",91,43.044531,-91.40299999999999
303,"Monroe, IA",24,41.508305,-93.09249100000001
304,"Montezuma, IA",30,41.601392,-92.479524
305,"Monticello, IA",234,42.250278,-91.179686
306,"Morning Sun, IA",42,41.094867,-91.260251
307,"Moulton, IA",10,40.692745,-92.753206
308,"Mount Ayr, IA",139,40.696594,-94.243101
309,"Mount Pleasant, IA",81,40.974004,-91.54470500000001
310,"Mount Union, IA",12,41.060686,-91.477275
311,"Mount Vernon, IA",120,41.94723,-91.42432
312,"Moville, IA",44,42.482199,-96.09567
313,"Murray, IA",12,41.070206,-93.918102
314,"Muscatine, IA",876,41.4048392773484,-91.0492203780419
315,"Nashua, IA",36,42.997619,-92.599814
316,"Neola, IA",64,,
317,"Nevada, IA",461,42.022607,-93.405659
318,"New Albin, IA",12,43.5005300191943,-91.61083158857541
319,"New Hampton, IA",145,43.082871000000004,-92.317836
320,"New London, IA",126,40.929384000000006,-91.457466
321,"New Sharon, IA",87,41.509158,-92.603576
322,"Newell, IA",85,42.560974,-95.022857
323,"Newton, IA",492,41.692832,-93.057968
324,"Nora Springs, IA",111,43.083144,-93.023787
325,"North Liberty, IA",1470,41.742915,-91.590408
326,"Northwood, IA",100,43.415009000000005,-93.141224
327,"Norwalk, IA",692,41.482975,-93.712396
328,"Norway, IA",112,41.861856,-91.94773199999999
329,"Oakland, IA",68,41.316741,-95.384273
330,"Ocheyedan, IA",8,43.408471,-95.524727
331,"Oelwein, IA",213,42.67856,-91.910469
332,"Ogden, IA",96,42.063525,-94.047648
333,"Olin, IA",55,,
334,"Onawa, IA",184,42.02801,-96.059188
335,"Orange City, IA",295,43.005864,-96.076561
336,"Orient, IA",32,41.258351,-94.409062
337,"Osage, IA",166,43.295077,-92.806083
338,"Osceola, IA",354,41.104811,-93.777974
339,"Oskaloosa, IA",640,41.29449,-92.631848
340,"Ossian, IA",147,,
341,"Otley, IA",12,,
342,"Ottumwa, IA",947,40.994803000000005,-92.420069
343,"Oxford, IA",51,41.686702000000004,-91.834185
344,"Pacific Junction, IA",8,41.100684,-95.830629
345,"Packwood, IA",90,41.083817,-92.063551
346,"Palo, IA",8,42.073552,-91.78041400000001
347,"Panama, IA",12,41.761674,-95.509068
348,"Panora, IA",100,41.707846999999994,-94.38277
349,"Parkersburg, IA",36,42.642462,-92.70316
350,"Paullina, IA",20,42.997461,-95.663511
351,"Pella, IA",477,41.397234000000005,-92.912155
352,"Peosta, IA",161,42.426431,-90.781935
353,"Perry, IA",111,41.838342,-94.122059
354,"Plainfield, IA",16,42.828817,-92.43615600000001
355,"Plano, IA",5,40.841006,-93.097746
356,"Pleasant Hill, IA",1221,41.580913,-93.472894
357,"Pleasantville, IA",5,41.31413,-93.213938
358,"Pocahontas, IA",49,42.728094,-94.668723
359,"Polk City, IA",319,41.750083000000004,-93.741279
360,"Postville, IA",99,43.081653,-91.605307
361,"Prairie City, IA",38,41.601009000000005,-93.207829
362,"Preston, IA",57,42.033336,-90.406258
363,"Primghar, IA",46,43.091646000000004,-95.604336
364,"Princeton, IA",43,41.6565672862744,-90.3397761046706
365,"Prole, IA",12,,
366,"Radcliffe, IA",16,,
367,"Readlyn, IA",42,42.729502000000004,-92.199304
368,"Red Oak, IA",170,40.998269,-95.222696
369,"Redfield, IA",10,41.600974,-94.227082
370,"Reinbeck, IA",109,42.296881,-92.5723
371,"Remsen, IA",12,42.779328,-95.977849
372,"Riceville, IA",84,,
373,"Richland, IA",17,41.148356,-91.965374
374,"Ridgeway, IA",12,43.25525,-91.942675
375,"Riverside, IA",205,41.410427,-91.628335
376,"Robins, IA",69,42.036018,-91.579158
377,"Rock Rapids, IA",186,43.500392012588605,-96.21401398013508
378,"Rock Valley, IA",188,43.162384855952396,-96.46732669386552
379,"Rockford, IA",12,43.049035,-92.95796700000001
380,"Rockwell City, IA",82,42.39733,-94.649754
381,"Rockwell, IA",24,42.994272,-93.162351
382,"Rose Hill, IA",12,,
383,"Sac City, IA",113,42.421958000000004,-95.022095
384,"Saint Ansgar, IA",78,,
385,"Salix, IA",8,,
386,"Sanborn, IA",65,43.186033,-95.663667
387,"Schaller, IA",57,42.489259000000004,-95.288839
388,"Sergeant Bluff, IA",480,42.385958868480294,-96.41133141767502
389,"Sheffield, IA",145,42.876939,-93.231626
390,"Shelby, IA",12,41.498985,-95.46043
391,"Sheldon, IA",276,43.171398,-95.84186
392,"Shell Rock, IA",116,42.709565000000005,-92.594325
393,"Shellsburg, IA",50,,
394,"Shenandoah, IA",223,40.74283,-95.38534
395,"Sibley, IA",140,43.394096000000005,-95.752592
396,"Sidney, IA",56,40.7363,-95.646996
397,"Silver City, IA",8,41.131195,-95.575588
398,"Sioux Center, IA",263,43.084364,-96.169952
399,"Sioux City, IA",5369,42.495311,-96.41056800000001
400,"Sioux Rapids, IA",45,42.909907000000004,-95.151279
401,"Slater, IA",50,41.883404,-93.698072
402,"Sloan, IA",29,42.2151367517153,-96.35665510863001
403,"Solon, IA",266,41.815527,-91.495564
404,"South Amana, IA",8,,
405,"Spencer, IA",582,43.141337,-95.144687
406,"Spillville, IA",24,,
407,"Spirit Lake, IA",342,43.425554,-95.107256
408,"St Anthony, IA",5,,
409,"St Charles, IA",17,,
410,"St. Lucas, IA",8,43.014487,-91.958264
411,"Stacyville, IA",20,43.49956234694489,-92.90552795603581
412,"Stanhope, IA",24,42.209597,-93.815729
413,"Stanton, IA",80,40.944281,-95.060753
414,"State Center, IA",44,42.022074,-93.165301
415,"Steamboat Rock, IA",12,42.390253,-93.08053000000001
416,"Storm Lake, IA",148,42.661935,-95.200761
417,"Story City, IA",175,42.195037,-93.570383
418,"Stratford, IA",55,42.317598,-93.955616
419,"Strawberry Point, IA",70,42.732188,-91.556219
420,"Stuart, IA",48,41.503747,-94.328174
421,"Sully, IA",60,41.508466,-92.88103100000001
422,"Sumner, IA",72,42.849416,-92.081549
423,"Sutherland, IA",24,42.996087,-95.48745
424,"Swea City, IA",30,43.327228000000005,-94.32467
425,"Swedesburg, IA",16,,
426,"Swisher, IA",190,41.851126,-91.700097
427,"Tama, IA",80,41.938209,-92.600571
428,"Templeton, IA",12,,
429,"Terril, IA",12,43.327828000000004,-95.052647
430,"Tiffin, IA",496,41.703656,-91.642262
431,"Tipton, IA",254,41.757822,-91.13025400000001
432,"Titonka, IA",12,43.169308,-94.098605
433,"Toledo, IA",173,41.996626,-92.634611
434,"Traer, IA",87,42.18112,-92.453078
435,"Tripoli, IA",78,42.8184,-92.317672
436,"Underwood, IA",66,41.419535,-95.669622
437,"Union, IA",16,42.208731,-93.14501800000001
438,"University Park, IA",52,41.281405,-92.607962
439,"Urbana, IA",8,42.244595000000004,-91.832075
440,"Urbandale, IA",2414,41.647355,-93.711003
441,"Ute, IA",20,,
442,"Van Horne, IA",41,41.963624,-92.066048
443,"Van Meter, IA",120,41.575049,-93.928754
444,"Ventura, IA",72,,
445,"Victor, IA",32,41.695688,-92.241078
446,"Vinton, IA",189,42.141253000000006,-92.015792
447,"Walcott, IA",36,41.596474,-90.764745
448,"Wall Lake, IA",12,42.239277,-95.090826
449,"Walnut, IA",27,41.505211,-95.154722
450,"Wapello, IA",69,41.189401000000004,-91.195783
451,"Washburn, IA",24,,
452,"Washington, IA",246,41.297399,-91.691704
453,"Washta, IA",12,,
454,"Waterloo, IA",3988,42.498364,-92.314626
455,"Waukee, IA",1399,41.572846000000006,-93.880538
456,"Waukon, IA",117,43.182488,-91.50142
457,"Waverly, IA",494,42.725764,-92.471983
458,"Webster City, IA",380,42.471802000000004,-93.858075
459,"Wellman, IA",122,41.459896,-91.839576
460,"Wellsburg, IA",85,42.375685,-92.886049
461,"West Bend, IA",66,42.969449,-94.442955
462,"West Branch, IA",165,41.616781,-91.366425
463,"West Burlington, IA",209,40.892021,-91.198066
464,"West Des Moines, IA",4372,41.580482,-93.721068
465,"West Liberty, IA",162,41.560817,-91.26619000000001
466,"West Point, IA",125,40.703733,-91.372782
467,"West Union, IA",98,42.964197,-91.80823000000001
468,"Wever, IA",12,,
469,"What Cheer, IA",20,41.408804,-92.34500200000001
470,"Wheatland, IA",12,41.798766,-90.898179
471,"Whiting, IA",12,,
472,"Williamsburg, IA",120,41.659216,-92.02457
473,"Willilamsburg, IA",12,,
474,"Wilton, IA",157,41.583606,-91.023859
475,"Windsor Heights, IA",213,41.600461,-93.73622900000001
476,"Winfield, IA",40,41.162405,-91.48571700000001
477,"Winterset, IA",289,41.326369,-94.018344
478,"Winthrop, IA",73,42.468275,-91.785613
479,"Woden, IA",12,43.255329,-93.852173
480,"Woodbine, IA",90,41.726012,-95.712545
481,"Woodburn, IA",12,,
482,"Zearing, IA",12,42.209012,-93.246115
