,index,0
258,"Harlan, IA",-95.232768
259,"Hospers, IA",-95.860579
260,"Hull, IA",-96.137811
261,"Raymond, IA",-92.23749699999999
262,"Fairbank, IA",-92.036448
263,"Gilbertville, IA",-92.181339
264,"Evansdale, IA",-92.277813
265,"La Porte City, IA",-92.220393
266,"Hudson, IA",-92.417075
267,"Reinbeck, IA",-92.5723
268,"Stanhope, IA",-93.81572899999999
269,"Luther, IA",-93.883157
270,"Fraser, IA",-93.971251
271,"Carlisle, IA",-93.575721
272,"Indianola, IA",-93.558301
273,"St. Marys, IA",-93.673396
274,"Brighton, IA",-91.83033499999999
275,"Washington, IA",-91.691704
276,"Corydon, IA",-93.31786199999999
277,"Seymour, IA",-93.09731
278,"Fort Dodge, IA",-94.235692
279,"Duncombe, IA",-93.971599
280,"Leland, IA",-93.617144
281,"Lake Mills, IA",-93.552238
282,"Thompson, IA",-93.734027
283,"Forest City, IA",-93.642215
284,"Decorah, IA",-91.79540399999999
285,"Ridgeway, IA",-91.942675
286,"Sioux City, IA",-96.410568
287,"Lawton, IA",-96.126723
288,"Sergeant Bluff, IA",-96.41133141767502
289,"Sloan, IA",-96.35665510863
290,"Joice, IA",-93.36957799999999
291,"Manly, IA",-93.203389
292,"Belmond, IA",-93.616749
293,"Clarion, IA",-93.735441
294,"Eagle Grove, IA",-93.873019
295,"Shell Rock, IA",-92.594325
296,"Bristow, IA",-92.936815
297,"Allison, IA",-92.761757
298,"Clarksville, IA",-92.747721
299,"Parkersburg, IA",-92.70316
300,"Manson, IA",-94.560532
301,"Pomeroy, IA",-94.678125
302,"Rockwell City, IA",-94.649754
303,"Rinard, IA",-94.489485
304,"Knierim, IA",-94.443033
305,"Yetter, IA",-94.86297499999999
306,"Lidderdale, IA",-94.783805
307,"Willey, IA",-94.78331999999999
308,"Westside, IA",-95.09744599999999
309,"Dedham, IA",-94.802792
310,"Elkport, IA",-91.328828
311,"Millville, IA",-91.0179210805502
312,"Frederika, IA",-92.396733
313,"Tripoli, IA",-92.317672
314,"Sumner, IA",-92.081549
315,"Aurora, IA",-91.727333
316,"Winthrop, IA",-91.785613
317,"Walker, IA",-91.831035
318,"Urbana, IA",-91.83207499999999
319,"Brandon, IA",-91.94808499999999
320,"Truesdale, IA",-95.26973199999999
321,"Sioux Rapids, IA",-95.151279
322,"Lakeside, IA",-95.171343
323,"Schaller, IA",-95.288839
324,"Deloit, IA",-95.32386799999999
325,"Danbury, IA",-95.670822
326,"Charter Oak, IA",-95.48685499999999
327,"Buck Grove, IA",-95.440567
328,"Woodward, IA",-93.91238
329,"Dallas Center, IA",-94.033046
330,"Minburn, IA",-93.93092999999999
331,"Linden, IA",-94.28265999999999
332,"De Soto, IA",-94.012762
333,"Redfield, IA",-94.227082
334,"Wadena, IA",-91.606854
335,"Strawberry Point, IA",-91.556219
336,"Low Moor, IA",-90.43218
337,"Princeton, IA",-90.3397761046706
338,"Grand Mound, IA",-90.674887
339,"Dixon, IA",-90.785209
340,"New Liberty, IA",-90.85922699999999
341,"Baldwin, IA",-90.759575
342,"Welton, IA",-90.66495499999999
343,"Andover, IA",-90.14957352868409
344,"Ryan, IA",-91.54968799999999
345,"Van Meter, IA",-93.928754
346,"Floris, IA",-92.284622
347,"Bloomfield, IA",-92.398929
348,"Lineville, IA",-93.556899
349,"Pleasanton, IA",-93.7868681607872
350,"Garden Grove, IA",-93.680157
351,"Leon, IA",-93.78663999999999
352,"Delaware, IA",-91.371659
353,"Edgewood, IA",-91.468504
354,"Sageville, IA",-90.663022
355,"Peosta, IA",-90.78193499999999
356,"Graf, IA",-90.89777699999999
357,"Epworth, IA",-90.918594
358,"Zwingle, IA",-90.678957
359,"Mount Union, IA",-91.47727499999999
360,"New London, IA",-91.457466
361,"Middletown, IA",-91.227797
362,"Danville, IA",-91.409324
363,"Harris, IA",-95.49998629983469
364,"Lake Park, IA",-95.340845
365,"Milford, IA",-95.165002
366,"Terril, IA",-95.052647
367,"Superior, IA",-94.97367799999999
368,"Arnolds Park, IA",-95.126139
369,"West Okoboji, IA",-95.164824
370,"Atalissa, IA",-91.153404
371,"Plymouth, IA",-93.141565
372,"Nora Springs, IA",-93.023787
373,"Hanlontown, IA",-93.31993299999999
374,"Rockford, IA",-92.957967
375,"Thornton, IA",-93.35091299999999
376,"Larrabee, IA",-95.51333199999999
377,"Meriden, IA",-95.602936
378,"Worthington, IA",-91.130584
379,"Cascade, IA",-91.05287799999999
380,"Balltown, IA",-90.8968978644181
381,"Wallingford, IA",-94.866261
382,"Dolliver, IA",-94.5608354777806
383,"Lewis, IA",-95.184148
384,"Cumberland, IA",-94.984967
385,"Grant, IA",-94.927613
386,"Clarence, IA",-91.064351
387,"Mechanicsville, IA",-91.25909
388,"Durant, IA",-90.910319
389,"Luana, IA",-91.48886399999999
390,"Garnavillo, IA",-91.22596399999999
391,"St. Olaf, IA",-91.335915
392,"Elkader, IA",-91.405006
393,"Adair, IA",-94.70062899999999
394,"Orient, IA",-94.40906199999999
395,"Cromwell, IA",-94.470529
396,"Corning, IA",-94.738063
397,"Nodaway, IA",-94.92845899999999
398,"New Albin, IA",-91.6108315885754
399,"Lansing, IA",-91.2023398664699
400,"Harpers Ferry, IA",-91.101669
401,"Quimby, IA",-95.623127
402,"Lawler, IA",-92.199208
403,"Colwell, IA",-92.55438099999999
404,"Ionia, IA",-92.47551
405,"Fredericksburg, IA",-92.199221
